,Down,Yards,Quarter,DefendersInTheBox
5805,1,-2,4,6.0
5827,1,7,4,6.0
5849,2,5,4,7.0
5865,1,1,4,7.0
5894,1,6,4,8.0
5916,2,2,4,8.0
5927,1,4,1,8.0
5949,2,9,1,7.0
5975,1,1,1,8.0
5993,1,3,1,8.0
6015,2,2,1,8.0
6048,1,6,1,7.0
6063,1,6,1,7.0
6085,2,-1,1,7.0
6107,1,-1,1,8.0
6125,1,11,1,7.0
6147,1,6,1,8.0
6162,1,17,1,8.0
6184,1,12,1,7.0
6212,1,-1,1,7.0
6234,2,3,1,7.0
6267,1,-2,2,6.0
6279,1,-1,2,7.0
6301,2,4,2,8.0
6335,1,4,2,7.0
6345,1,4,2,7.0
6367,2,-1,2,7.0
6393,1,3,2,7.0
6411,2,4,2,7.0
6426,1,2,2,8.0
6455,2,4,2,8.0
6477,1,3,2,8.0
6499,2,1,2,10.0
6515,3,0,2,10.0
6543,4,1,2,10.0
6569,1,7,2,6.0
6591,1,7,3,7.0
6613,2,0,3,7.0
6635,1,2,3,7.0
6657,1,7,3,7.0
6684,2,4,3,7.0
6690,1,7,3,8.0
6712,1,1,3,8.0
6734,2,1,3,8.0
6762,1,7,3,8.0
6785,2,1,3,10.0
6811,1,4,3,7.0
6832,1,2,3,7.0
6854,1,8,3,6.0
6876,3,5,3,7.0
6898,2,3,3,6.0
6917,1,4,3,7.0
6939,2,17,4,7.0
6954,1,1,4,8.0
6976,2,0,4,8.0
7004,1,5,4,7.0
7030,2,4,4,7.0
7049,1,1,4,8.0
7071,2,3,4,8.0
7093,1,2,4,8.0
7109,2,1,4,8.0
7137,3,4,4,8.0
7162,1,8,4,6.0
7176,2,14,1,7.0
7206,1,5,1,7.0
7228,2,5,1,8.0
7250,1,2,1,7.0
7272,1,1,1,8.0
7294,2,1,1,7.0
7308,1,4,1,8.0
7331,1,5,1,6.0
7352,1,3,1,7.0
7373,1,5,1,5.0
7396,3,2,1,7.0
7418,4,1,1,7.0
7448,1,0,2,8.0
7477,2,5,2,5.0
7490,1,0,2,8.0
7512,1,4,2,7.0
7534,1,2,2,6.0
7556,1,2,2,7.0
7588,1,3,2,7.0
7610,2,2,2,7.0
7633,1,2,2,8.0
7654,1,8,2,7.0
7676,1,5,3,7.0
7690,2,-2,3,8.0
7704,2,7,3,6.0
7734,1,-1,3,8.0
7747,1,2,3,7.0
7776,2,2,3,7.0
7800,2,6,3,7.0
7822,2,21,3,6.0
7844,3,-1,3,6.0
7858,1,12,4,7.0
7880,1,4,4,7.0
7908,1,0,4,7.0
7923,1,1,4,6.0
7945,2,3,4,8.0
7976,1,7,4,6.0
7990,1,4,4,6.0
8012,2,3,4,7.0
8040,3,7,4,6.0
8062,1,9,4,7.0
8078,2,5,4,8.0
8100,1,2,4,8.0
8122,2,6,4,9.0
8144,3,-2,4,9.0
8177,2,-1,1,7.0
8205,1,-1,1,7.0
8227,1,4,1,7.0
8228,1,6,1,6.0
8259,1,1,1,6.0
8293,1,4,1,8.0
8294,1,4,1,7.0
8316,2,5,1,6.0
8338,3,-2,1,8.0
8360,2,4,1,7.0
8382,1,6,1,7.0
8404,1,2,2,8.0
8447,1,6,2,7.0
8469,2,2,2,7.0
8491,1,-1,2,8.0
8507,2,1,2,7.0
8514,1,7,2,7.0
8545,1,2,2,8.0
8579,1,4,2,7.0
8595,1,4,2,7.0
8604,2,0,2,6.0
8624,1,0,3,8.0
8667,1,4,3,8.0
8689,1,6,3,6.0
8690,2,5,3,7.0
8733,1,2,4,7.0
8736,1,2,4,6.0
8756,1,0,4,7.0
8786,1,3,4,7.0
8808,2,-2,4,6.0
8822,1,3,4,7.0
8844,2,4,4,7.0
8866,3,2,4,8.0
8906,1,2,1,7.0
8912,1,2,1,7.0
8934,2,-2,1,7.0
8956,1,4,1,7.0
8978,1,8,1,8.0
9007,1,-1,1,8.0
9029,2,0,1,6.0
9060,1,3,1,6.0
9082,2,4,1,7.0
9100,1,9,1,6.0
9126,2,0,1,8.0
9148,3,7,1,7.0
9154,1,16,1,7.0
9176,1,2,1,6.0
9214,1,-3,1,6.0
9232,2,2,2,5.0
9242,1,2,2,7.0
9279,1,1,2,7.0
9302,2,5,2,6.0
9315,2,0,2,7.0
9346,2,7,2,6.0
9368,1,12,2,7.0
9388,1,1,2,7.0
9396,1,6,3,7.0
9418,2,3,3,7.0
9440,2,1,3,6.0
9479,2,3,3,7.0
9498,1,5,3,6.0
9523,1,2,3,5.0
9544,2,-6,3,8.0
9566,3,2,3,6.0
9579,1,1,3,7.0
9610,1,0,3,7.0
9622,1,3,3,8.0
9645,2,-2,3,7.0
9676,1,1,3,7.0
9698,2,0,3,7.0
9719,2,0,3,8.0
9733,1,24,4,8.0
9748,1,5,4,7.0
9770,1,2,4,8.0
9799,2,3,4,7.0
9828,1,-4,4,6.0
9842,1,-10,4,7.0
9873,1,5,4,8.0
9895,2,2,4,7.0
9917,1,2,4,8.0
9939,1,1,4,8.0
9960,2,3,4,7.0
9982,3,3,4,8.0
9996,2,6,4,7.0
10031,1,1,4,8.0
10035,1,2,1,7.0
10058,2,6,1,6.0
10096,1,3,1,8.0
10118,2,3,1,8.0
10140,1,2,1,7.0
10161,2,3,1,8.0
10185,2,3,1,8.0
10189,1,-2,1,8.0
10218,2,0,1,6.0
10250,1,2,2,6.0
10262,1,4,2,7.0
10293,1,3,2,8.0
10315,2,0,2,7.0
10321,1,0,2,7.0
10360,1,0,2,7.0
10372,1,-1,2,7.0
10394,2,8,2,7.0
10416,3,4,2,6.0
10447,1,4,3,7.0
10469,1,8,3,6.0
10482,2,2,3,5.0
10514,1,6,3,6.0
10526,1,3,3,6.0
10548,1,30,3,6.0
10563,1,-3,3,7.0
10592,1,0,3,7.0
10623,2,6,3,7.0
10636,2,0,4,7.0
10668,2,6,4,6.0
10690,2,3,4,6.0
10713,2,6,4,5.0
10733,1,2,4,7.0
10755,1,3,4,7.0
10778,1,0,4,8.0
10800,2,1,4,6.0
10821,1,-1,4,7.0
10824,1,1,1,7.0
10846,3,7,1,7.0
10887,1,8,1,6.0
10911,1,2,1,7.0
10912,1,3,1,6.0
10939,2,1,1,8.0
10976,1,12,1,7.0
10998,1,2,1,8.0
11010,2,5,1,5.0
11041,1,18,1,7.0
11063,1,1,1,7.0
11066,2,3,2,7.0
11109,3,3,2,5.0
11120,1,5,2,6.0
11142,1,3,2,8.0
11154,2,2,2,7.0
11195,1,2,2,7.0
11219,1,5,2,7.0
11220,1,10,2,7.0
11251,1,-2,2,6.0
11282,1,1,2,7.0
11304,4,0,2,6.0
11308,1,1,3,7.0
11339,2,5,3,6.0
11362,1,4,3,7.0
11393,1,1,3,7.0
11396,1,2,3,8.0
11418,2,3,3,8.0
11450,1,3,3,6.0
11462,2,3,3,7.0
11484,3,0,3,8.0
11527,2,1,3,6.0
11538,2,6,4,6.0
11560,1,-6,4,6.0
11572,1,5,4,8.0
11594,2,8,4,8.0
11616,1,4,4,8.0
11638,2,6,4,8.0
11660,1,3,4,8.0
11682,2,2,4,8.0
11713,3,11,4,5.0
11736,1,1,4,8.0
11748,2,2,4,8.0
11780,3,8,4,8.0
11812,2,3,1,7.0
11834,1,3,1,6.0
11844,1,3,1,7.0
11878,1,6,1,8.0
11900,1,3,1,6.0
11922,2,6,1,8.0
11944,1,9,1,6.0
11966,2,5,1,6.0
11982,2,-2,1,7.0
12010,1,-7,2,6.0
12021,1,3,2,6.0
12042,1,3,2,7.0
12064,2,3,2,7.0
12093,2,4,2,7.0
12120,1,5,2,7.0
12142,2,3,2,6.0
12150,1,12,2,6.0
12186,1,10,2,6.0
12208,2,9,2,6.0
12230,1,6,2,7.0
12240,1,6,3,6.0
12263,1,1,3,7.0
12284,1,2,3,7.0
12306,1,1,3,6.0
12340,1,2,3,7.0
12362,2,4,3,6.0
12369,3,4,3,8.0
12392,1,-2,4,6.0
12428,1,4,4,7.0
12450,1,3,4,7.0
12472,1,4,4,7.0
12494,2,8,4,6.0
12516,2,1,4,6.0
12538,3,6,4,7.0
12560,1,8,4,8.0
12576,2,3,4,8.0
12599,1,-4,4,8.0
12626,2,3,4,8.0
12648,3,0,4,8.0
12654,1,9,1,7.0
12676,2,1,1,6.0
12704,2,3,1,6.0
12717,2,2,1,7.0
12741,2,2,1,7.0
12770,1,1,1,8.0
12783,2,4,1,6.0
12824,2,1,1,8.0
12846,2,-1,1,8.0
12868,1,-1,1,6.0
12886,3,10,1,6.0
12912,1,2,1,6.0
12918,1,3,1,7.0
12946,2,3,1,7.0
12978,1,6,2,6.0
13000,2,0,2,7.0
13003,1,7,2,7.0
13026,1,2,2,7.0
13050,1,5,2,7.0
13069,2,-1,2,7.0
13091,3,3,2,7.0
13122,1,2,2,6.0
13137,2,1,2,7.0
13176,1,5,2,6.0
13198,3,10,2,8.0
13220,1,7,3,6.0
13242,1,0,3,6.0
13264,2,10,3,6.0
13282,2,3,3,7.0
13292,1,2,3,6.0
13326,1,-2,3,7.0
13349,1,-6,3,8.0
13364,1,3,3,7.0
13379,1,2,3,8.0
13418,2,1,3,8.0
13440,1,3,3,8.0
13462,1,5,3,7.0
13484,2,32,4,7.0
13506,1,4,4,8.0
13525,2,-3,4,6.0
13540,2,5,4,7.0
13562,2,1,4,7.0
13594,1,4,4,6.0
13616,1,3,4,8.0
13638,1,0,4,7.0
13656,2,3,4,7.0
13682,1,2,4,9.0
13704,2,1,4,9.0
13726,3,33,4,7.0
13744,1,1,1,7.0
13766,1,2,1,8.0
13779,1,21,1,8.0
13802,1,5,1,6.0
13833,2,6,1,6.0
13854,1,2,1,8.0
13876,2,11,1,6.0
13898,2,3,1,7.0
13921,1,7,1,7.0
13942,2,0,1,8.0
13954,1,2,1,8.0
13976,2,1,1,7.0
13998,1,2,1,8.0
14020,1,0,1,9.0
14043,2,10,1,8.0
14064,1,0,1,6.0
14096,1,2,2,5.0
14110,1,6,2,7.0
14129,2,3,2,7.0
14154,1,1,2,6.0
14174,2,0,2,7.0
14201,1,3,2,7.0
14227,1,18,2,7.0
14245,2,4,2,6.0
14271,1,0,2,11.0
14283,1,2,2,8.0
14306,1,1,2,8.0
14328,2,4,2,8.0
14361,1,9,2,7.0
14383,2,5,2,7.0
14399,3,4,2,4.0
14417,1,2,3,6.0
14438,2,2,3,8.0
14468,1,4,3,7.0
14487,1,7,3,7.0
14509,2,12,3,5.0
14531,1,2,3,7.0
14553,3,2,3,8.0
14575,1,-2,3,11.0
14602,2,1,3,8.0
14616,1,-2,4,6.0
14636,4,-2,4,9.0
14667,1,0,4,7.0
14689,2,0,4,7.0
14704,1,4,4,6.0
14729,1,4,4,7.0
14751,2,4,4,7.0
14778,1,3,4,7.0
14798,1,3,4,8.0
14820,2,4,4,8.0
14835,3,0,4,5.0
14858,4,2,4,5.0
14874,1,4,1,7.0
14910,1,5,1,8.0
14918,1,0,1,8.0
14940,3,2,1,6.0
14981,2,2,1,7.0
14990,2,9,1,7.0
15012,1,5,1,7.0
15047,1,12,1,6.0
15056,1,5,1,8.0
15079,2,9,1,7.0
15100,1,2,1,7.0
15123,2,1,1,7.0
15152,2,-5,2,6.0
15160,2,1,2,7.0
15182,1,0,2,8.0
15223,1,3,2,7.0
15245,2,3,2,6.0
15262,1,3,2,6.0
15284,2,5,2,5.0
15306,3,1,2,7.0
15314,1,6,2,7.0
15336,2,3,2,7.0
15358,3,0,2,8.0
15399,1,7,2,6.0
15409,2,1,2,6.0
15431,1,5,2,6.0
15461,2,6,3,7.0
15483,2,-1,3,7.0
15504,2,6,3,7.0
15526,3,0,3,9.0
15548,4,3,3,9.0
15570,1,4,3,7.0
15578,1,8,3,6.0
15600,2,2,3,7.0
15622,1,0,3,6.0
15663,1,6,3,8.0
15684,1,2,3,8.0
15695,2,2,4,7.0
15716,3,-2,4,9.0
15751,1,7,4,6.0
15773,2,4,4,6.0
15795,1,-1,4,5.0
15804,3,-1,4,9.0
15839,2,5,4,6.0
15842,1,3,4,7.0
15864,1,2,4,7.0
15886,2,19,4,6.0
15915,2,4,4,6.0
15930,2,2,4,7.0
15952,1,6,4,7.0
15974,2,5,4,7.0
15996,3,-2,4,8.0
16021,1,3,1,7.0
16043,2,0,1,6.0
16078,1,-1,1,6.0
16098,1,2,1,8.0
16108,1,9,1,7.0
16131,2,2,1,8.0
16168,1,3,1,6.0
16188,2,2,1,5.0
16208,1,4,1,7.0
16218,1,2,1,8.0
16241,1,3,1,6.0
16278,1,2,1,7.0
16298,2,5,2,6.0
16307,1,-1,2,8.0
16328,1,0,2,6.0
16364,1,12,2,7.0
16388,1,-4,2,8.0
16410,1,4,2,7.0
16416,1,1,2,7.0
16451,1,1,2,8.0
16461,2,2,2,7.0
16498,2,37,2,7.0
16517,1,2,3,8.0
16542,2,4,3,6.0
16549,1,17,3,8.0
16570,1,2,3,8.0
16608,1,-2,3,8.0
16631,1,16,3,7.0
16653,1,4,3,7.0
16675,2,1,3,6.0
16696,3,14,3,7.0
16718,1,1,3,6.0
16724,1,16,4,6.0
16763,1,7,4,6.0
16785,2,4,4,8.0
16805,2,2,4,8.0
16828,1,-2,4,7.0
16850,1,9,4,8.0
16872,1,1,4,8.0
16893,1,-1,4,8.0
16916,2,-2,4,7.0
16938,3,6,4,4.0
16960,3,6,4,4.0
16973,1,-1,1,6.0
16995,2,3,1,8.0
17026,1,6,1,6.0
17039,2,5,1,7.0
17070,1,4,1,6.0
17073,1,0,1,6.0
17105,1,-1,1,6.0
17127,1,9,1,7.0
17149,2,-2,1,7.0
17181,3,2,1,8.0
17183,1,2,1,9.0
17215,1,1,2,8.0
17230,1,3,2,7.0
17252,2,1,2,6.0
17281,1,10,2,6.0
17313,2,-2,2,7.0
17335,1,-2,2,6.0
17347,3,6,2,7.0
17359,1,-2,2,5.0
17381,4,-1,3,8.0
17422,1,0,3,6.0
17435,2,-2,3,7.0
17447,1,6,3,6.0
17469,2,-2,3,8.0
17501,1,5,3,6.0
17513,2,2,3,6.0
17535,1,6,3,7.0
17557,2,0,3,7.0
17599,2,3,3,6.0
17601,1,-7,3,7.0
17623,2,4,4,6.0
17648,1,1,4,7.0
17667,1,1,4,7.0
17699,2,4,4,7.0
17731,1,-1,4,6.0
17743,3,4,4,9.0
17765,1,-2,4,10.0
17787,2,1,4,10.0
17804,1,2,1,6.0
17832,1,8,1,8.0
17854,2,1,1,9.0
17878,3,5,1,7.0
17898,1,2,1,7.0
17920,2,5,1,8.0
17936,1,4,1,7.0
17958,2,1,1,6.0
17986,1,5,1,7.0
18016,1,1,1,8.0
18037,2,-4,1,8.0
18046,1,5,1,7.0
18068,1,-2,2,8.0
18097,1,1,2,8.0
18106,2,3,2,7.0
18128,1,8,2,7.0
18150,2,11,2,6.0
18178,1,3,2,7.0
18200,1,2,2,7.0
18228,2,2,2,6.0
18244,1,4,2,7.0
18272,1,3,3,6.0
18282,1,3,3,6.0
18316,1,13,3,7.0
18338,1,6,3,7.0
18367,2,2,3,6.0
18370,1,2,3,7.0
18392,2,4,3,7.0
18427,3,5,3,9.0
18455,1,2,3,8.0
18477,1,3,3,7.0
18500,2,-3,3,7.0
18514,1,1,4,8.0
18530,1,6,4,6.0
18546,2,3,4,7.0
18580,1,-2,4,8.0
18590,1,3,4,7.0
18612,1,5,4,8.0
18634,2,1,4,6.0
18656,1,1,5,8.0
18684,2,3,5,8.0
18706,3,5,5,8.0
18722,1,0,1,7.0
18744,2,3,1,7.0
18786,1,5,1,7.0
18801,1,6,1,8.0
18830,1,7,1,8.0
18852,2,2,1,9.0
18868,3,2,1,9.0
18896,2,-1,1,8.0
18899,1,4,1,9.0
18920,2,4,1,6.0
18942,1,4,1,8.0
18964,1,7,1,8.0
19006,1,4,1,7.0
19021,2,0,1,7.0
19039,1,3,1,7.0
19072,2,4,2,7.0
19074,2,0,2,8.0
19116,1,7,2,7.0
19138,2,2,2,8.0
19153,3,2,2,7.0
19172,2,17,2,7.0
19204,1,13,2,8.0
19226,1,3,2,7.0
19241,1,3,2,7.0
19263,2,4,2,8.0
19291,1,0,2,7.0
19303,3,2,2,8.0
19336,1,4,3,8.0
19339,1,0,3,6.0
19370,2,-1,3,7.0
19383,1,3,3,7.0
19423,1,1,3,6.0
19436,1,17,3,8.0
19467,1,1,3,6.0
19480,1,6,3,7.0
19492,2,1,3,9.0
19523,1,5,3,9.0
19546,2,14,4,9.0
19567,1,6,4,8.0
19589,2,11,4,9.0
19611,1,2,4,7.0
19633,2,4,4,9.0
19665,2,1,4,8.0
19678,1,7,4,8.0
19699,2,3,4,9.0
19722,2,9,4,9.0
19742,3,3,4,7.0
19761,1,3,4,10.0
19783,1,4,4,9.0
19805,2,10,4,8.0
19828,1,4,4,9.0
19865,1,4,1,7.0
19886,2,6,1,7.0
19891,1,12,1,6.0
19913,2,6,1,7.0
19935,2,3,1,6.0
19975,1,1,1,8.0
19997,2,2,1,6.0
20006,1,-2,2,7.0
20023,1,2,2,7.0
20045,2,-3,2,6.0
20085,1,-1,2,8.0
20102,3,4,2,7.0
20111,1,6,2,6.0
20151,1,2,2,6.0
20155,1,11,2,3.0
20176,2,3,3,7.0
20217,1,1,3,7.0
20227,1,8,3,6.0
20243,2,3,3,7.0
20283,2,-1,3,7.0
20305,1,53,3,7.0
20309,1,5,4,7.0
20336,1,-2,4,7.0
20371,1,-1,4,8.0
20393,1,4,4,8.0
20415,2,3,4,7.0
20437,3,12,4,8.0
20459,1,2,4,7.0
20466,2,1,1,8.0
20487,1,2,1,7.0
20509,2,13,1,7.0
20539,1,6,1,6.0
20561,1,1,1,8.0
20584,2,2,1,7.0
20599,1,5,1,8.0
20620,2,-1,1,8.0
20643,1,7,1,7.0
20664,2,7,1,7.0
20686,1,3,1,7.0
20708,1,3,1,8.0
20745,1,3,1,8.0
20760,1,5,2,7.0
20782,2,6,2,7.0
20803,1,1,2,7.0
20825,1,2,2,8.0
20840,1,7,2,6.0
20859,1,0,2,7.0
20884,1,2,2,11.0
20914,2,-1,2,8.0
20928,1,9,2,8.0
20957,2,6,3,6.0
20980,1,3,3,7.0
21001,2,3,3,8.0
21013,2,0,3,8.0
21038,1,1,3,8.0
21060,1,5,3,8.0
21082,2,1,3,8.0
21110,1,9,3,6.0
21133,2,4,3,8.0
21155,1,1,3,5.0
21170,2,4,3,7.0
21192,1,3,3,7.0
21210,1,13,3,6.0
21232,1,1,3,7.0
21257,1,4,4,7.0
21279,1,7,4,6.0
21310,4,2,4,7.0
21323,1,13,4,8.0
21345,1,3,4,8.0
21367,3,2,4,9.0
21389,1,1,4,7.0
21411,2,1,4,8.0
21434,3,-7,4,8.0
21462,2,28,4,3.0
21489,1,3,1,7.0
21511,2,4,1,7.0
21525,2,7,1,7.0
21544,2,0,1,6.0
21566,3,9,1,5.0
21599,1,0,1,8.0
21621,2,1,1,7.0
21643,1,4,1,8.0
21666,1,7,1,7.0
21687,2,3,1,7.0
21713,1,9,1,7.0
21731,2,2,1,8.0
21745,1,-4,1,6.0
21767,2,1,1,7.0
21797,1,11,1,6.0
21819,1,6,2,6.0
21841,2,2,2,7.0
21852,2,0,2,7.0
21873,3,2,2,7.0
21899,1,1,2,6.0
21918,2,4,2,6.0
21950,1,2,2,7.0
21965,1,1,2,7.0
21995,1,2,2,6.0
22017,2,9,2,5.0
22031,2,-3,2,7.0
22050,1,7,2,5.0
22075,1,6,3,6.0
22104,1,-2,3,8.0
22119,2,10,3,6.0
22137,1,4,3,6.0
22163,1,25,3,6.0
22184,1,1,3,11.0
22215,1,4,3,6.0
22237,1,1,3,7.0
22259,1,3,3,6.0
22273,2,8,3,7.0
22303,1,7,3,7.0
22325,2,0,4,7.0
22347,1,0,4,7.0
22361,1,6,4,7.0
22383,2,6,4,6.0
22412,2,4,4,7.0
22434,1,9,4,6.0
22456,2,3,4,7.0
22478,1,5,4,6.0
22500,1,0,4,6.0
22522,1,2,4,7.0
22549,2,1,4,8.0
22566,3,2,4,7.0
22584,2,6,1,7.0
22605,1,-1,1,7.0
22628,1,2,1,8.0
22652,1,2,1,6.0
22669,1,-3,1,7.0
22692,1,2,1,8.0
22713,1,3,1,7.0
22736,1,-3,1,6.0
22760,1,1,1,6.0
22785,3,0,1,6.0
22802,1,9,1,7.0
22824,2,2,2,7.0
22845,1,4,2,8.0
22868,2,2,2,7.0
22892,2,4,2,6.0
22914,1,9,2,7.0
22935,2,0,2,8.0
22958,3,8,2,7.0
22980,1,3,2,7.0
23001,1,1,2,8.0
23022,1,2,2,7.0
23044,2,-3,2,6.0
23065,1,2,2,8.0
23088,2,-1,2,6.0
23110,1,2,2,6.0
23132,3,-2,2,8.0
23154,1,7,3,7.0
23177,1,1,3,6.0
23199,1,8,3,7.0
23222,2,-1,3,8.0
23243,2,5,3,6.0
23266,1,10,3,7.0
23288,1,2,3,7.0
23308,2,-3,3,6.0
23339,1,2,3,7.0
23362,2,5,3,7.0
23384,1,1,3,7.0
23404,1,3,3,8.0
23429,1,14,3,6.0
23451,1,8,3,6.0
23473,2,1,3,7.0
