,Down,Yards
23065,1,2
23088,2,-1
23110,1,2
23132,3,-2
23154,1,7
23177,1,1
23199,1,8
23222,2,-1
23243,2,5
23266,1,10
23288,1,2
23308,2,-3
23339,1,2
23362,2,5
23384,1,1
23404,1,3
23429,1,14
23451,1,8
23473,2,1
23485,3,2
23508,1,6
23529,1,1
23559,1,3
23581,2,2
23603,1,8
23623,1,0
23646,2,6
23659,1,6
23681,1,0
23703,2,20
23721,1,-7
23747,2,6
23769,2,4
23801,1,-4
23813,1,8
23835,2,-2
23865,1,-2
23878,1,2
23900,2,10
23922,1,-1
23945,2,-3
23976,1,2
23999,2,26
24021,1,-1
24043,1,0
24064,2,1
24076,1,3
24109,1,3
24121,1,7
24143,2,8
24165,3,5
24187,1,0
24219,1,11
24230,1,3
24252,1,-1
24273,2,9
24296,3,3
24318,2,1
24351,1,3
24363,1,7
24385,2,5
24407,2,4
24429,2,-2
24451,2,3
24482,1,-1
24495,1,10
24516,1,2
24539,2,2
24568,1,-1
24591,3,6
24597,1,-2
24618,2,3
24656,1,4
24679,1,8
24699,2,4
24721,3,13
24728,2,1
24771,2,0
24787,1,0
24809,2,4
24826,1,6
24848,1,3
24875,1,8
24883,2,5
24904,1,6
24928,1,-1
24948,1,16
24970,1,7
24992,2,2
25029,1,2
25051,1,0
25073,2,2
25095,3,2
25104,1,5
25127,2,4
25148,3,2
25178,2,7
25200,1,0
25233,1,6
25255,2,10
25277,1,0
25295,3,43
25310,1,2
25336,2,7
25365,1,52
25366,1,8
25388,2,5
25410,1,5
25453,1,5
25475,1,-1
25496,2,0
25519,1,1
25541,2,5
25563,1,-1
25585,2,1
25594,1,11
25616,2,0
25646,2,2
25668,2,2
25683,2,3
25713,1,6
25733,2,3
25757,2,28
25773,2,4
25793,1,2
25822,1,4
25844,2,1
25858,1,0
25889,2,5
25910,2,3
25927,1,4
25955,2,1
25977,1,1
25993,2,14
26015,2,3
26042,1,2
26065,1,4
26086,3,9
26108,1,-3
26125,1,5
26147,2,9
26169,1,5
26197,2,1
26211,1,-5
26240,2,23
26255,2,0
26277,1,2
26299,2,1
26321,4,5
26350,1,0
26373,1,8
26395,2,6
26417,1,1
26433,1,4
26461,2,6
26481,3,0
26504,1,-1
26526,2,6
26543,3,-2
26561,1,8
26583,2,0
26612,1,5
26638,2,3
26652,1,5
26674,2,4
26696,1,2
26718,1,5
26740,1,4
26762,1,2
26792,1,6
26806,1,19
26828,1,21
26850,1,3
26867,2,9
26894,1,1
26910,2,7
26945,1,2
26960,1,4
26982,2,3
27004,1,4
27034,2,0
27056,3,1
27070,1,9
27092,2,2
27114,1,2
27144,1,6
27158,1,0
27174,2,61
27210,2,6
27224,1,-1
27254,1,5
27272,2,0
27297,1,18
27307,1,0
27334,1,1
27356,2,11
27378,1,3
27400,1,-1
27422,1,-1
27452,1,7
27470,1,3
27496,2,6
27518,3,5
27541,1,11
27563,1,4
27584,3,5
27606,1,3
27620,1,2
27642,2,12
27664,1,5
27686,2,10
27708,1,3
27730,1,1
27752,2,5
27774,1,1
27796,2,4
27818,3,0
27848,2,1
27865,2,0
27887,4,9
27917,1,3
27936,1,0
27947,1,4
27968,3,0
28005,1,2
28024,2,7
28046,1,0
28068,1,-4
28079,1,6
28115,1,1
28137,2,3
28159,1,7
28181,1,0
28203,2,8
28225,1,-1
28233,1,6
28255,2,61
28280,1,1
28298,2,-2
28320,3,27
28343,2,3
28364,1,3
28386,2,1
28423,1,4
28445,2,4
28467,3,5
28475,1,1
28511,2,-1
28519,1,4
28544,3,10
28577,1,0
28585,2,6
28610,2,11
28632,1,13
28652,1,4
28687,2,14
28709,1,3
28718,1,0
28753,1,9
28775,2,2
28797,1,12
28819,1,2
28841,2,16
28859,1,3
28882,1,8
28903,1,6
28926,1,7
28949,2,2
28971,3,1
28983,2,5
28998,3,10
29027,2,1
29047,2,2
29070,1,7
29092,1,1
29116,2,2
29147,2,-2
29166,1,5
29188,2,2
29203,2,-2
29235,1,35
29257,1,1
29276,1,1
29290,1,5
29314,2,4
29344,1,17
29366,1,8
29388,2,1
29411,3,6
29422,1,7
29444,2,2
29474,1,9
29497,2,9
29517,1,3
29540,2,1
29553,1,7
29585,1,2
29607,3,8
29629,2,-1
29650,1,2
29672,2,-1
29697,3,0
29709,1,4
29730,1,1
29752,2,0
29785,1,0
29800,3,4
29818,2,8
29839,1,4
29862,1,-2
29895,1,12
29917,1,-1
29925,1,2
29950,1,7
29973,1,4
29994,2,0
30025,1,11
30038,1,-1
30071,1,4
30083,1,5
30104,2,24
30130,1,8
30157,1,4
30170,1,-2
30192,2,-2
30225,1,-5
30248,1,3
30262,2,2
30279,2,2
30299,1,8
30324,1,2
30355,1,2
30379,2,4
30403,1,1
30424,2,-1
30435,1,1
30456,2,3
30482,1,5
30504,1,2
30522,1,3
30544,2,34
30562,1,2
30583,2,-3
30607,3,11
30627,1,0
30649,2,-1
30671,3,1
30693,4,0
30724,1,7
30742,1,3
30775,1,2
30797,2,20
30819,1,3
30843,2,-3
30865,2,2
30885,1,7
30907,2,2
30929,3,4
30940,2,3
30962,1,4
30983,1,5
31019,2,10
31041,1,2
31063,2,0
31071,1,10
31094,1,5
31113,2,-2
31149,2,2
31171,1,1
31191,1,7
31214,3,2
31237,1,3
31259,1,2
31281,2,-1
31291,1,4
31314,1,4
31336,1,7
31357,1,2
31379,1,0
31400,3,5
31423,1,1
31444,2,1
31466,3,0
31500,1,7
31523,2,11
31545,2,0
31565,1,5
31587,2,0
31610,3,0
31632,4,1
31643,1,5
31664,2,1
31683,1,8
31709,1,0
31730,2,0
31765,1,5
31787,2,3
31796,1,29
31818,1,3
31840,2,2
31858,1,5
31880,2,1
31907,1,2
31928,2,-1
31963,1,2
31983,2,2
32007,1,2
32029,3,0
32050,4,1
32060,1,-1
32082,2,1
32104,3,20
32123,1,4
32161,1,2
32184,1,10
32199,2,-2
32214,1,5
32239,2,3
32272,1,5
32294,1,15
32305,2,-1
32337,2,4
32360,3,1
32382,4,6
32396,1,3
32412,1,4
32447,1,2
32469,2,3
32492,1,3
32514,2,3
32524,1,2
32546,2,2
32580,1,2
32594,1,2
32623,1,1
32644,1,2
32668,1,0
32676,1,10
32697,1,1
32734,1,2
32742,2,7
32764,1,-1
32800,1,-2
32811,2,16
32832,1,4
32858,1,9
32880,2,2
32910,1,1
32932,1,3
32943,1,10
32963,2,4
32985,3,2
33009,2,6
33029,1,2
33053,1,2
33079,1,3
33097,1,9
33119,2,18
33140,2,0
33163,2,19
33180,1,7
33205,2,-1
33241,1,0
33263,2,8
33285,1,5
33290,3,0
33320,1,0
33340,1,4
33352,3,2
33374,1,0
33408,2,6
33422,1,1
33445,1,0
33462,1,2
33499,1,4
33521,2,0
33540,2,4
33566,1,0
33578,2,32
33594,1,12
33628,2,1
33652,1,9
33674,2,5
33685,1,1
33716,1,1
33738,2,3
33763,3,10
33770,1,2
33792,2,19
33819,2,0
33845,3,2
33858,1,3
33892,1,7
33907,1,-3
33939,1,2
33946,1,4
33974,2,5
34002,1,-4
34024,2,-2
34034,2,12
34068,1,1
34092,2,3
34112,1,4
34137,2,0
34158,1,3
34180,2,5
34200,3,2
34222,1,-4
34244,2,2
34265,2,5
34296,2,7
34309,1,17
34331,1,4
34353,2,5
34375,3,1
34407,1,5
34429,2,2
34441,1,4
34463,2,2
34475,2,5
34498,2,2
34527,1,8
34543,2,5
34564,2,6
34587,1,-1
34617,2,5
34649,1,31
34661,2,5
34683,1,3
34697,1,1
34727,1,0
34739,1,15
34761,2,8
34792,1,12
34807,1,15
34827,1,-5
34849,2,3
34872,1,2
34894,1,2
34925,3,6
34938,1,4
34978,3,2
34982,1,11
35005,1,11
35027,1,6
35049,2,3
35071,3,-2
35092,1,0
35114,3,5
35144,1,25
35158,1,-1
35180,2,2
35202,3,7
35236,1,8
35258,2,4
35271,2,3
35308,1,-1
35331,1,4
35352,2,11
35375,2,8
35396,1,1
35419,2,3
35425,2,1
35447,2,2
35485,1,1
35507,2,13
35529,1,3
35551,2,2
35573,2,2
35595,1,1
35600,2,5
35622,2,9
35649,3,3
35666,2,2
35705,2,8
35727,3,9
35749,1,26
35770,1,6
35793,2,13
35815,2,-4
35820,1,4
35859,1,5
35881,2,-4
35886,2,5
35908,1,1
35947,1,17
35969,1,-1
35991,1,0
36013,3,15
36034,1,-4
36057,3,4
36062,1,2
36084,1,1
36106,2,2
36145,1,0
36167,2,3
36172,2,7
36210,2,-2
36216,1,13
36254,1,1
36277,2,4
36299,1,1
36321,2,36
36343,1,18
36364,1,19
36370,2,1
36393,1,2
36415,1,-2
36451,2,-1
36474,1,3
36485,1,1
36506,2,14
36525,2,12
36561,1,3
36582,1,4
36592,1,9
36614,2,4
36635,1,2
36658,2,9
36680,1,3
36703,2,1
36738,1,3
36760,2,10
36782,1,0
36792,1,9
36813,1,3
36847,2,-1
36855,2,2
36891,1,3
36914,1,0
36935,1,5
36957,1,5
36979,1,3
36989,1,2
37010,1,8
37032,2,11
37052,1,16
37090,1,6
37111,1,11
37132,1,2
37144,1,11
37167,2,9
37186,3,18
37208,1,0
37243,2,-4
37251,1,2
37273,1,2
37296,2,2
37318,1,1
37339,1,10
37361,1,1
37382,2,-1
37412,1,-3
37427,1,6
37456,1,7
37478,2,2
37501,3,2
37522,1,3
37537,1,4
37559,2,6
37580,1,8
37603,2,19
37632,1,21
37654,1,-1
37676,1,0
37691,2,1
37712,1,4
37743,1,-2
37764,1,4
37778,2,1
37808,1,0
37830,1,7
37852,2,4
37867,3,4
37896,1,0
37919,3,5
37933,1,1
37960,1,0
37984,1,0
38006,1,-3
38021,1,3
38055,2,3
38072,1,4
38094,2,3
38117,3,7
38138,1,-3
38160,2,6
38182,1,2
38204,2,2
38226,1,0
38249,3,6
38270,1,0
38292,2,-1
38314,3,1
38344,1,6
38366,2,4
38388,1,3
38410,1,0
38432,2,1
38435,1,0
38461,1,3
38498,1,1
38520,1,0
38522,1,3
38564,2,3
38586,1,2
38608,2,3
38630,1,1
38633,1,4
38655,2,4
38692,1,3
38718,1,9
38740,2,4
38743,1,4
38784,1,1
38791,1,2
38828,1,6
38846,2,2
38872,1,0
38894,2,7
38916,1,26
38938,2,4
38944,1,2
38982,2,0
39004,1,2
39026,1,2
39048,2,-2
39070,1,6
39092,2,2
39112,1,1
39133,2,4
39158,1,3
39162,1,0
39198,1,-2
39222,2,-1
39244,1,0
39257,1,1
39287,2,6
39301,1,2
39331,1,5
39354,3,6
39371,1,3
39382,2,7
39404,1,12
39426,1,3
39463,1,8
39485,2,3
39507,2,0
39514,3,0
39552,3,5
39558,2,5
39580,1,9
39602,2,2
39638,1,7
39661,2,-3
39684,1,4
39701,2,2
39728,1,1
39741,1,3
39761,1,4
39785,2,5
39807,3,4
39829,1,3
39851,1,5
39873,2,2
39902,1,5
39924,2,4
39946,3,0
39954,1,5
39976,2,3
39998,1,1
40020,1,7
40042,2,2
40064,3,0
40095,1,3
40127,3,2
40137,1,-2
40158,2,8
40183,1,4
40206,1,2
40237,2,10
40250,1,-3
40269,2,0
40290,3,-3
40315,2,1
40335,1,4
40357,2,4
40379,2,8
40401,2,-2
40435,2,1
40447,1,0
40479,1,8
40488,2,-2
40513,1,-1
40532,1,2
40558,1,8
40581,2,4
40598,1,4
40621,2,-5
40645,2,5
40667,1,1
40689,1,12
40712,1,1
40734,1,1
40764,2,2
40778,3,0
40801,2,4
40831,1,5
40845,3,0
40863,2,5
40889,1,9
40911,1,5
40932,2,1
40955,1,0
40985,2,6
40998,1,7
41020,2,0
41042,3,-2
41062,1,0
41088,2,1
41106,2,2
41126,1,2
41161,2,1
41168,1,3
41190,2,1
41212,3,-4
41239,1,3
41261,1,17
41283,1,8
41315,3,1
41330,1,11
41359,1,1
41374,1,-1
41403,2,3
41425,2,2
41437,2,4
41459,3,1
41479,1,-1
41513,1,0
41535,1,14
41557,1,8
41579,2,5
41591,2,2
41603,1,5
41631,4,-1
41657,1,20
41679,1,5
41701,1,1
41723,1,0
41745,1,0
41765,1,7
41787,2,7
41809,1,1
41831,2,2
41865,1,2
41887,2,4
41894,2,20
41916,1,2
41953,1,7
41975,2,-3
41997,2,2
42005,1,1
42041,1,2
42063,1,15
42073,1,0
42095,2,2
42129,2,20
42151,1,9
42163,2,6
42185,1,-1
42206,1,0
42230,1,3
42252,2,2
42272,1,5
42294,2,6
42318,1,4
42349,2,-1
42360,1,6
42382,2,3
42404,3,0
42436,1,-1
42459,2,1
42480,1,-5
42502,1,-1
42522,2,5
42538,2,3
42560,2,6
42582,1,5
42604,2,2
42624,2,3
42648,2,1
42668,1,1
42690,2,5
42712,2,7
42734,1,7
42755,1,1
42780,1,3
42802,2,9
42822,2,1
42854,1,3
42876,1,7
42898,2,5
42910,1,-1
42933,1,75
42954,2,-1
42986,1,8
43008,1,25
43030,1,5
43044,1,5
43066,2,-2
43096,1,4
43118,2,2
43140,3,1
43147,1,1
43169,1,2
43196,1,3
43218,2,-1
43250,1,7
43262,1,1
43284,1,1
43306,2,1
43337,1,0
43350,1,-6
43366,1,25
43390,1,8
