,PlayId,Stadium,StadiumType
1496,20170910001689,New Era Field,outdoor
1518,20170910001738,New Era Field,outdoor
1540,20170910001770,New Era Field,outdoor
1562,20170910002211,New Era Field,outdoor
1584,20170910002293,New Era Field,outdoor
1606,20170910002384,New Era Field,outdoor
1628,20170910002477,New Era Field,outdoor
1650,20170910002577,New Era Field,outdoor
1672,20170910002631,New Era Field,outdoor
1694,20170910002754,New Era Field,outdoor
1716,20170910002891,New Era Field,outdoor
1738,20170910003180,New Era Field,outdoor
1760,20170910003233,New Era Field,outdoor
1782,20170910003275,New Era Field,outdoor
1804,20170910003296,New Era Field,outdoor
1826,20170910003350,New Era Field,outdoor
1848,20170910003371,New Era Field,outdoor
1870,20170910003454,New Era Field,outdoor
1892,20170910003475,New Era Field,outdoor
1914,20170910003531,New Era Field,outdoor
1936,20170910003608,New Era Field,outdoor
1958,20170910003629,New Era Field,outdoor
1980,20170910003857,New Era Field,outdoor
2002,20170910003878,New Era Field,outdoor
2024,20170910004094,New Era Field,outdoor
2046,20170910004132,New Era Field,outdoor
2068,20170910004196,New Era Field,outdoor
2090,20170910004249,New Era Field,outdoor
2112,20170910010071,Soldier Field,outdoor
2134,20170910010164,Soldier Field,outdoor
2156,20170910010209,Soldier Field,outdoor
2178,20170910010254,Soldier Field,outdoor
2200,20170910010275,Soldier Field,outdoor
2222,20170910010354,Soldier Field,outdoor
2244,20170910010475,Soldier Field,outdoor
2266,20170910010624,Soldier Field,outdoor
2288,20170910010753,Soldier Field,outdoor
2310,20170910010774,Soldier Field,outdoor
2332,20170910010887,Soldier Field,outdoor
2354,20170910010908,Soldier Field,outdoor
2376,20170910011140,Soldier Field,outdoor
2398,20170910011209,Soldier Field,outdoor
2420,20170910011230,Soldier Field,outdoor
2442,20170910011331,Soldier Field,outdoor
2464,20170910011373,Soldier Field,outdoor
2486,20170910011436,Soldier Field,outdoor
2508,20170910011457,Soldier Field,outdoor
2530,20170910011478,Soldier Field,outdoor
2552,20170910011499,Soldier Field,outdoor
2574,20170910011572,Soldier Field,outdoor
2596,20170910011593,Soldier Field,outdoor
2618,20170910011743,Soldier Field,outdoor
2640,20170910011764,Soldier Field,outdoor
2662,20170910011785,Soldier Field,outdoor
2684,20170910011889,Soldier Field,outdoor
2706,20170910011995,Soldier Field,outdoor
2728,20170910012016,Soldier Field,outdoor
2750,20170910012141,Soldier Field,outdoor
2772,20170910012162,Soldier Field,outdoor
2794,20170910012231,Soldier Field,outdoor
2816,20170910012383,Soldier Field,outdoor
2838,20170910012525,Soldier Field,outdoor
2860,20170910012546,Soldier Field,outdoor
2882,20170910012578,Soldier Field,outdoor
2904,20170910013273,Soldier Field,outdoor
2926,20170910013353,Soldier Field,outdoor
2948,20170910020104,Paul Brown Stadium,outdoor
2970,20170910020125,Paul Brown Stadium,outdoor
2992,20170910020240,Paul Brown Stadium,outdoor
3014,20170910020284,Paul Brown Stadium,outdoor
3036,20170910020344,Paul Brown Stadium,outdoor
3058,20170910020394,Paul Brown Stadium,outdoor
3080,20170910020565,Paul Brown Stadium,outdoor
3102,20170910020650,Paul Brown Stadium,outdoor
3124,20170910020695,Paul Brown Stadium,outdoor
3146,20170910020722,Paul Brown Stadium,outdoor
3168,20170910020801,Paul Brown Stadium,outdoor
3190,20170910021000,Paul Brown Stadium,outdoor
3212,20170910021045,Paul Brown Stadium,outdoor
3234,20170910021066,Paul Brown Stadium,outdoor
3256,20170910021087,Paul Brown Stadium,outdoor
3278,20170910021156,Paul Brown Stadium,outdoor
3300,20170910021198,Paul Brown Stadium,outdoor
3322,20170910021274,Paul Brown Stadium,outdoor
3344,20170910021339,Paul Brown Stadium,outdoor
3366,20170910021462,Paul Brown Stadium,outdoor
3388,20170910021483,Paul Brown Stadium,outdoor
3410,20170910021528,Paul Brown Stadium,outdoor
3432,20170910021560,Paul Brown Stadium,outdoor
3454,20170910021686,Paul Brown Stadium,outdoor
3476,20170910021733,Paul Brown Stadium,outdoor
3498,20170910021803,Paul Brown Stadium,outdoor
3520,20170910021889,Paul Brown Stadium,outdoor
3542,20170910021984,Paul Brown Stadium,outdoor
3564,20170910022041,Paul Brown Stadium,outdoor
3586,20170910022115,Paul Brown Stadium,outdoor
3608,20170910022184,Paul Brown Stadium,outdoor
3630,20170910022268,Paul Brown Stadium,outdoor
3652,20170910022289,Paul Brown Stadium,outdoor
3674,20170910022310,Paul Brown Stadium,outdoor
3696,20170910022363,Paul Brown Stadium,outdoor
3718,20170910022384,Paul Brown Stadium,outdoor
3740,20170910022422,Paul Brown Stadium,outdoor
3762,20170910022443,Paul Brown Stadium,outdoor
3784,20170910022464,Paul Brown Stadium,outdoor
3806,20170910022502,Paul Brown Stadium,outdoor
3828,20170910022523,Paul Brown Stadium,outdoor
3850,20170910022544,Paul Brown Stadium,outdoor
3872,20170910022598,Paul Brown Stadium,outdoor
3894,20170910022619,Paul Brown Stadium,outdoor
3916,20170910022695,Paul Brown Stadium,outdoor
3938,20170910022897,Paul Brown Stadium,outdoor
3960,20170910022935,Paul Brown Stadium,outdoor
3982,20170910022956,Paul Brown Stadium,outdoor
4004,20170910023000,Paul Brown Stadium,outdoor
4026,20170910023135,Paul Brown Stadium,outdoor
4048,20170910023201,Paul Brown Stadium,outdoor
4070,20170910023245,Paul Brown Stadium,outdoor
4092,20170910023266,Paul Brown Stadium,outdoor
4114,20170910023510,Paul Brown Stadium,outdoor
4136,20170910023552,Paul Brown Stadium,outdoor
4158,20170910023584,Paul Brown Stadium,outdoor
4180,20170910023662,Paul Brown Stadium,outdoor
4202,20170910023694,Paul Brown Stadium,outdoor
4224,20170910023769,Paul Brown Stadium,outdoor
4246,20170910023790,Paul Brown Stadium,outdoor
4268,20170910023828,Paul Brown Stadium,outdoor
4290,20170910023889,Paul Brown Stadium,outdoor
4312,20170910023910,Paul Brown Stadium,outdoor
4334,20170910030080,FirstEnergy,outdoor
4356,20170910030129,FirstEnergy,outdoor
4378,20170910030204,FirstEnergy,outdoor
4400,20170910030225,FirstEnergy,outdoor
4422,20170910030257,FirstEnergy,outdoor
4444,20170910030555,FirstEnergy,outdoor
4466,20170910030626,FirstEnergy,outdoor
4488,20170910030724,FirstEnergy,outdoor
4510,20170910030745,FirstEnergy,outdoor
4532,20170910030812,FirstEnergy,outdoor
4554,20170910030915,FirstEnergy,outdoor
4576,20170910031022,FirstEnergy,outdoor
4598,20170910031123,FirstEnergy,outdoor
4620,20170910031213,FirstEnergy,outdoor
4642,20170910031312,FirstEnergy,outdoor
4664,20170910031375,FirstEnergy,outdoor
4686,20170910031605,FirstEnergy,outdoor
4708,20170910031626,FirstEnergy,outdoor
4730,20170910031897,FirstEnergy,outdoor
4752,20170910031976,FirstEnergy,outdoor
4774,20170910032219,FirstEnergy,outdoor
4796,20170910032270,FirstEnergy,outdoor
4818,20170910032390,FirstEnergy,outdoor
4840,20170910032468,FirstEnergy,outdoor
4862,20170910032489,FirstEnergy,outdoor
4884,20170910032712,FirstEnergy,outdoor
4906,20170910032915,FirstEnergy,outdoor
4928,20170910032982,FirstEnergy,outdoor
4950,20170910033027,FirstEnergy,outdoor
4972,20170910033186,FirstEnergy,outdoor
4994,20170910033344,FirstEnergy,outdoor
5016,20170910033478,FirstEnergy,outdoor
5038,20170910033752,FirstEnergy,outdoor
5060,20170910040097,Ford Field,indoor
5082,20170910040153,Ford Field,indoor
5104,20170910040233,Ford Field,indoor
5126,20170910040316,Ford Field,indoor
5148,20170910040432,Ford Field,indoor
5170,20170910040453,Ford Field,indoor
5192,20170910040624,Ford Field,indoor
5214,20170910040781,Ford Field,indoor
5236,20170910040876,Ford Field,indoor
5258,20170910040945,Ford Field,indoor
5280,20170910041065,Ford Field,indoor
5302,20170910041179,Ford Field,indoor
5324,20170910041342,Ford Field,indoor
5346,20170910041413,Ford Field,indoor
5368,20170910041505,Ford Field,indoor
5390,20170910041526,Ford Field,indoor
5412,20170910041549,Ford Field,indoor
5434,20170910041769,Ford Field,indoor
5456,20170910042059,Ford Field,indoor
5478,20170910042481,Ford Field,indoor
5500,20170910042550,Ford Field,indoor
5522,20170910042640,Ford Field,indoor
5544,20170910042685,Ford Field,indoor
5566,20170910042739,Ford Field,indoor
5588,20170910042962,Ford Field,indoor
5610,20170910043043,Ford Field,indoor
5632,20170910043146,Ford Field,indoor
5654,20170910043178,Ford Field,indoor
5676,20170910043278,Ford Field,indoor
5698,20170910043299,Ford Field,indoor
5720,20170910043347,Ford Field,indoor
5742,20170910043607,Ford Field,indoor
5764,20170910043652,Ford Field,indoor
5786,20170910043684,Ford Field,indoor
5808,20170910043941,Ford Field,indoor
5830,20170910043962,Ford Field,indoor
5852,20170910044007,Ford Field,indoor
5874,20170910044546,Ford Field,indoor
5896,20170910044567,Ford Field,indoor
5918,20170910050077,NRG Stadium,
5940,20170910050098,NRG Stadium,
5962,20170910050273,NRG Stadium,
5984,20170910050354,NRG Stadium,
6006,20170910050375,NRG Stadium,
6028,20170910050435,NRG Stadium,
6050,20170910050504,NRG Stadium,
6072,20170910050525,NRG Stadium,
6094,20170910050570,NRG Stadium,
6116,20170910050682,NRG Stadium,
6138,20170910050703,NRG Stadium,
6160,20170910050748,NRG Stadium,
6182,20170910050801,NRG Stadium,
6204,20170910050855,NRG Stadium,
6226,20170910050876,NRG Stadium,
6248,20170910051003,NRG Stadium,
6270,20170910051126,NRG Stadium,
6292,20170910051147,NRG Stadium,
6314,20170910051214,NRG Stadium,
6336,20170910051312,NRG Stadium,
6358,20170910051333,NRG Stadium,
6380,20170910051425,NRG Stadium,
6402,20170910051499,NRG Stadium,
6424,20170910051555,NRG Stadium,
6446,20170910051604,NRG Stadium,
6468,20170910051636,NRG Stadium,
6490,20170910051678,NRG Stadium,
6512,20170910051699,NRG Stadium,
6534,20170910051724,NRG Stadium,
6556,20170910052048,NRG Stadium,
6578,20170910052125,NRG Stadium,
6600,20170910052146,NRG Stadium,
6622,20170910052191,NRG Stadium,
6644,20170910052236,NRG Stadium,
6666,20170910052302,NRG Stadium,
6688,20170910052578,NRG Stadium,
6710,20170910052654,NRG Stadium,
6732,20170910052675,NRG Stadium,
6754,20170910052720,NRG Stadium,
6776,20170910052786,NRG Stadium,
6798,20170910052862,NRG Stadium,
6820,20170910052926,NRG Stadium,
6842,20170910053002,NRG Stadium,
6864,20170910053045,NRG Stadium,
6886,20170910053090,NRG Stadium,
6908,20170910053140,NRG Stadium,
6930,20170910053178,NRG Stadium,
6952,20170910053199,NRG Stadium,
6974,20170910053220,NRG Stadium,
6996,20170910053265,NRG Stadium,
7018,20170910053374,NRG Stadium,
7040,20170910053479,NRG Stadium,
7062,20170910053500,NRG Stadium,
7084,20170910053837,NRG Stadium,
7106,20170910053880,NRG Stadium,
7128,20170910053919,NRG Stadium,
7150,20170910054015,NRG Stadium,
7172,20170910070082,Nissan Stadium,outdoor
7194,20170910070280,Nissan Stadium,outdoor
7216,20170910070301,Nissan Stadium,outdoor
7238,20170910070322,Nissan Stadium,outdoor
7260,20170910070389,Nissan Stadium,outdoor
7282,20170910070410,Nissan Stadium,outdoor
7304,20170910070508,Nissan Stadium,outdoor
7326,20170910070575,Nissan Stadium,outdoor
7348,20170910070686,Nissan Stadium,outdoor
7370,20170910070742,Nissan Stadium,outdoor
7392,20170910070787,Nissan Stadium,outdoor
7414,20170910070825,Nissan Stadium,outdoor
7436,20170910070963,Nissan Stadium,outdoor
7458,20170910070984,Nissan Stadium,outdoor
7480,20170910071055,Nissan Stadium,outdoor
7502,20170910071100,Nissan Stadium,outdoor
7524,20170910071145,Nissan Stadium,outdoor
7546,20170910071190,Nissan Stadium,outdoor
7568,20170910071272,Nissan Stadium,outdoor
7590,20170910071293,Nissan Stadium,outdoor
7612,20170910071338,Nissan Stadium,outdoor
7634,20170910071491,Nissan Stadium,outdoor
7656,20170910071833,Nissan Stadium,outdoor
7678,20170910071926,Nissan Stadium,outdoor
7700,20170910072027,Nissan Stadium,outdoor
7722,20170910072106,Nissan Stadium,outdoor
7744,20170910072191,Nissan Stadium,outdoor
7766,20170910072306,Nissan Stadium,outdoor
7788,20170910072474,Nissan Stadium,outdoor
7810,20170910072546,Nissan Stadium,outdoor
7832,20170910072613,Nissan Stadium,outdoor
7854,20170910072718,Nissan Stadium,outdoor
7876,20170910072739,Nissan Stadium,outdoor
7898,20170910072999,Nissan Stadium,outdoor
7920,20170910073072,Nissan Stadium,outdoor
7942,20170910073093,Nissan Stadium,outdoor
7964,20170910073161,Nissan Stadium,outdoor
7986,20170910073407,Nissan Stadium,outdoor
8008,20170910073428,Nissan Stadium,outdoor
8030,20170910073449,Nissan Stadium,outdoor
8052,20170910073487,Nissan Stadium,outdoor
8074,20170910073525,Nissan Stadium,outdoor
8096,20170910073563,Nissan Stadium,outdoor
8118,20170910073584,Nissan Stadium,outdoor
8140,20170910073622,Nissan Stadium,outdoor
8162,20170910080090,FedExField,outdoor
8184,20170910080135,FedExField,outdoor
8206,20170910080385,FedExField,outdoor
8228,20170910080492,FedExField,outdoor
8250,20170910080572,FedExField,outdoor
8272,20170910080653,FedExField,outdoor
8294,20170910080740,FedExField,outdoor
8316,20170910080761,FedExField,outdoor
8338,20170910080782,FedExField,outdoor
8360,20170910080864,FedExField,outdoor
8382,20170910080909,FedExField,outdoor
8404,20170910080971,FedExField,outdoor
8426,20170910081087,FedExField,outdoor
8448,20170910081108,FedExField,outdoor
8470,20170910081154,FedExField,outdoor
8492,20170910081175,FedExField,outdoor
8514,20170910081338,FedExField,outdoor
8536,20170910081428,FedExField,outdoor
8558,20170910081591,FedExField,outdoor
8580,20170910081705,FedExField,outdoor
8602,20170910081816,FedExField,outdoor
8624,20170910082188,FedExField,outdoor
8646,20170910082538,FedExField,outdoor
8668,20170910082744,FedExField,outdoor
8690,20170910083016,FedExField,outdoor
8712,20170910083158,FedExField,outdoor
8734,20170910083275,FedExField,outdoor
8756,20170910083344,FedExField,outdoor
8778,20170910083411,FedExField,outdoor
8800,20170910083437,FedExField,outdoor
8822,20170910083656,FedExField,outdoor
8844,20170910083677,FedExField,outdoor
8866,20170910083698,FedExField,outdoor
8888,20170910090051,Los Angeles Memorial Coliseum,outdoor
8910,20170910090222,Los Angeles Memorial Coliseum,outdoor
8932,20170910090243,Los Angeles Memorial Coliseum,outdoor
8954,20170910090350,Los Angeles Memorial Coliseum,outdoor
8976,20170910090419,Los Angeles Memorial Coliseum,outdoor
8998,20170910090492,Los Angeles Memorial Coliseum,outdoor
9020,20170910090513,Los Angeles Memorial Coliseum,outdoor
9042,20170910090590,Los Angeles Memorial Coliseum,outdoor
9064,20170910090611,Los Angeles Memorial Coliseum,outdoor
9086,20170910090656,Los Angeles Memorial Coliseum,outdoor
9108,20170910090682,Los Angeles Memorial Coliseum,outdoor
9130,20170910090703,Los Angeles Memorial Coliseum,outdoor
9152,20170910090818,Los Angeles Memorial Coliseum,outdoor
9174,20170910090839,Los Angeles Memorial Coliseum,outdoor
9196,20170910090918,Los Angeles Memorial Coliseum,outdoor
9218,20170910090990,Los Angeles Memorial Coliseum,outdoor
9240,20170910091086,Los Angeles Memorial Coliseum,outdoor
9262,20170910091245,Los Angeles Memorial Coliseum,outdoor
9284,20170910091266,Los Angeles Memorial Coliseum,outdoor
9306,20170910091392,Los Angeles Memorial Coliseum,outdoor
9328,20170910091529,Los Angeles Memorial Coliseum,outdoor
9350,20170910091778,Los Angeles Memorial Coliseum,outdoor
9372,20170910091845,Los Angeles Memorial Coliseum,outdoor
9394,20170910092063,Los Angeles Memorial Coliseum,outdoor
9416,20170910092084,Los Angeles Memorial Coliseum,outdoor
9438,20170910092199,Los Angeles Memorial Coliseum,outdoor
9460,20170910092288,Los Angeles Memorial Coliseum,outdoor
9482,20170910092333,Los Angeles Memorial Coliseum,outdoor
9504,20170910092382,Los Angeles Memorial Coliseum,outdoor
9526,20170910092403,Los Angeles Memorial Coliseum,outdoor
9548,20170910092424,Los Angeles Memorial Coliseum,outdoor
9570,20170910092538,Los Angeles Memorial Coliseum,outdoor
9592,20170910092626,Los Angeles Memorial Coliseum,outdoor
9614,20170910092727,Los Angeles Memorial Coliseum,outdoor
9636,20170910092748,Los Angeles Memorial Coliseum,outdoor
9658,20170910092834,Los Angeles Memorial Coliseum,outdoor
9680,20170910092855,Los Angeles Memorial Coliseum,outdoor
9702,20170910092929,Los Angeles Memorial Coliseum,outdoor
9724,20170910093011,Los Angeles Memorial Coliseum,outdoor
9746,20170910093036,Los Angeles Memorial Coliseum,outdoor
9768,20170910093081,Los Angeles Memorial Coliseum,outdoor
9790,20170910093102,Los Angeles Memorial Coliseum,outdoor
9812,20170910093194,Los Angeles Memorial Coliseum,outdoor
9834,20170910093294,Los Angeles Memorial Coliseum,outdoor
9856,20170910093353,Los Angeles Memorial Coliseum,outdoor
9878,20170910093374,Los Angeles Memorial Coliseum,outdoor
9900,20170910093419,Los Angeles Memorial Coliseum,outdoor
9922,20170910093464,Los Angeles Memorial Coliseum,outdoor
9944,20170910093485,Los Angeles Memorial Coliseum,outdoor
9966,20170910093529,Los Angeles Memorial Coliseum,outdoor
9988,20170910093599,Los Angeles Memorial Coliseum,outdoor
10010,20170910093662,Los Angeles Memorial Coliseum,outdoor
10032,20170910100411,Lambeau Field,outdoor
10054,20170910100445,Lambeau Field,outdoor
10076,20170910100512,Lambeau Field,outdoor
10098,20170910100537,Lambeau Field,outdoor
10120,20170910100579,Lambeau Field,outdoor
10142,20170910100600,Lambeau Field,outdoor
10164,20170910100670,Lambeau Field,outdoor
10186,20170910100773,Lambeau Field,outdoor
10208,20170910100796,Lambeau Field,outdoor
10230,20170910100993,Lambeau Field,outdoor
10252,20170910101192,Lambeau Field,outdoor
10274,20170910101276,Lambeau Field,outdoor
10296,20170910101300,Lambeau Field,outdoor
10318,20170910101379,Lambeau Field,outdoor
10340,20170910101551,Lambeau Field,outdoor
10362,20170910101745,Lambeau Field,outdoor
10384,20170910101805,Lambeau Field,outdoor
10406,20170910101843,Lambeau Field,outdoor
10428,20170910102048,Lambeau Field,outdoor
10450,20170910102126,Lambeau Field,outdoor
10472,20170910102266,Lambeau Field,outdoor
10494,20170910102316,Lambeau Field,outdoor
10516,20170910102371,Lambeau Field,outdoor
10538,20170910102468,Lambeau Field,outdoor
10560,20170910102513,Lambeau Field,outdoor
10582,20170910102582,Lambeau Field,outdoor
10604,20170910102812,Lambeau Field,outdoor
10626,20170910103100,Lambeau Field,outdoor
10648,20170910103186,Lambeau Field,outdoor
10670,20170910103266,Lambeau Field,outdoor
10692,20170910103309,Lambeau Field,outdoor
10714,20170910103650,Lambeau Field,outdoor
10736,20170910103768,Lambeau Field,outdoor
10758,20170910103846,Lambeau Field,outdoor
10780,20170910103884,Lambeau Field,outdoor
10802,20170910104003,Lambeau Field,outdoor
10824,20170910110051,Levis Stadium,outdoor
10846,20170910110100,Levis Stadium,outdoor
10868,20170910110283,Levis Stadium,outdoor
10890,20170910110355,Levis Stadium,outdoor
10912,20170910110467,Levis Stadium,outdoor
10934,20170910110488,Levis Stadium,outdoor
10956,20170910110567,Levis Stadium,outdoor
10978,20170910110616,Levis Stadium,outdoor
11000,20170910110690,Levis Stadium,outdoor
11022,20170910110773,Levis Stadium,outdoor
11044,20170910110794,Levis Stadium,outdoor
11066,20170910110960,Levis Stadium,outdoor
11088,20170910111105,Levis Stadium,outdoor
11110,20170910111162,Levis Stadium,outdoor
11132,20170910111216,Levis Stadium,outdoor
11154,20170910111277,Levis Stadium,outdoor
11176,20170910111328,Levis Stadium,outdoor
11198,20170910111401,Levis Stadium,outdoor
11220,20170910111518,Levis Stadium,outdoor
11242,20170910111543,Levis Stadium,outdoor
11264,20170910111778,Levis Stadium,outdoor
11286,20170910111893,Levis Stadium,outdoor
11308,20170910112186,Levis Stadium,outdoor
11330,20170910112207,Levis Stadium,outdoor
11352,20170910112253,Levis Stadium,outdoor
11374,20170910112362,Levis Stadium,outdoor
11396,20170910112458,Levis Stadium,outdoor
11418,20170910112552,Levis Stadium,outdoor
11440,20170910112597,Levis Stadium,outdoor
11462,20170910112671,Levis Stadium,outdoor
11484,20170910112692,Levis Stadium,outdoor
11506,20170910112949,Levis Stadium,outdoor
11528,20170910113126,Levis Stadium,outdoor
11550,20170910113162,Levis Stadium,outdoor
11572,20170910113518,Levis Stadium,outdoor
11594,20170910113539,Levis Stadium,outdoor
11616,20170910113560,Levis Stadium,outdoor
11638,20170910113581,Levis Stadium,outdoor
11660,20170910113605,Levis Stadium,outdoor
11682,20170910113626,Levis Stadium,outdoor
11704,20170910113664,Levis Stadium,outdoor
11726,20170910113685,Levis Stadium,outdoor
11748,20170910113706,Levis Stadium,outdoor
11770,20170910113744,Levis Stadium,outdoor
11792,20170910120087,AT&T Stadium,indoor
11814,20170910120129,AT&T Stadium,indoor
11836,20170910120271,AT&T Stadium,indoor
11858,20170910120356,AT&T Stadium,indoor
11880,20170910120432,AT&T Stadium,indoor
11902,20170910120731,AT&T Stadium,indoor
11924,20170910120822,AT&T Stadium,indoor
11946,20170910120843,AT&T Stadium,indoor
11968,20170910120886,AT&T Stadium,indoor
11990,20170910120952,AT&T Stadium,indoor
12012,20170910121105,AT&T Stadium,indoor
12034,20170910121154,AT&T Stadium,indoor
12056,20170910121175,AT&T Stadium,indoor
12078,20170910121264,AT&T Stadium,indoor
12100,20170910121314,AT&T Stadium,indoor
12122,20170910121335,AT&T Stadium,indoor
12144,20170910121397,AT&T Stadium,indoor
12166,20170910121555,AT&T Stadium,indoor
12188,20170910121603,AT&T Stadium,indoor
12210,20170910121625,AT&T Stadium,indoor
12232,20170910122252,AT&T Stadium,indoor
12254,20170910122297,AT&T Stadium,indoor
12276,20170910122414,AT&T Stadium,indoor
12298,20170910122463,AT&T Stadium,indoor
12320,20170910122568,AT&T Stadium,indoor
12342,20170910122637,AT&T Stadium,indoor
12364,20170910122751,AT&T Stadium,indoor
12386,20170910122898,AT&T Stadium,indoor
12408,20170910122984,AT&T Stadium,indoor
12430,20170910123051,AT&T Stadium,indoor
12452,20170910123304,AT&T Stadium,indoor
12474,20170910123325,AT&T Stadium,indoor
12496,20170910123393,AT&T Stadium,indoor
12518,20170910123414,AT&T Stadium,indoor
12540,20170910123435,AT&T Stadium,indoor
12562,20170910123456,AT&T Stadium,indoor
12584,20170910123477,AT&T Stadium,indoor
12606,20170910123515,AT&T Stadium,indoor
12628,20170910123553,AT&T Stadium,indoor
12650,20170911000087,U.S. Bank Stadium,indoor
12672,20170911000108,U.S. Bank Stadium,indoor
12694,20170911000174,U.S. Bank Stadium,indoor
12716,20170911000230,U.S. Bank Stadium,indoor
12738,20170911000309,U.S. Bank Stadium,indoor
12760,20170911000330,U.S. Bank Stadium,indoor
12782,20170911000386,U.S. Bank Stadium,indoor
12804,20170911000494,U.S. Bank Stadium,indoor
12826,20170911000563,U.S. Bank Stadium,indoor
12848,20170911000624,U.S. Bank Stadium,indoor
12870,20170911000724,U.S. Bank Stadium,indoor
12892,20170911000745,U.S. Bank Stadium,indoor
12914,20170911000846,U.S. Bank Stadium,indoor
12936,20170911000867,U.S. Bank Stadium,indoor
12958,20170911000963,U.S. Bank Stadium,indoor
12980,20170911000989,U.S. Bank Stadium,indoor
13002,20170911001172,U.S. Bank Stadium,indoor
13024,20170911001263,U.S. Bank Stadium,indoor
13046,20170911001330,U.S. Bank Stadium,indoor
13068,20170911001351,U.S. Bank Stadium,indoor
13090,20170911001375,U.S. Bank Stadium,indoor
13112,20170911001543,U.S. Bank Stadium,indoor
13134,20170911001594,U.S. Bank Stadium,indoor
13156,20170911001692,U.S. Bank Stadium,indoor
13178,20170911001771,U.S. Bank Stadium,indoor
13200,20170911002134,U.S. Bank Stadium,indoor
13222,20170911002194,U.S. Bank Stadium,indoor
13244,20170911002215,U.S. Bank Stadium,indoor
13266,20170911002265,U.S. Bank Stadium,indoor
13288,20170911002353,U.S. Bank Stadium,indoor
13310,20170911002455,U.S. Bank Stadium,indoor
13332,20170911002528,U.S. Bank Stadium,indoor
13354,20170911002650,U.S. Bank Stadium,indoor
13376,20170911002730,U.S. Bank Stadium,indoor
13398,20170911002860,U.S. Bank Stadium,indoor
13420,20170911002905,U.S. Bank Stadium,indoor
13442,20170911002960,U.S. Bank Stadium,indoor
13464,20170911002998,U.S. Bank Stadium,indoor
13486,20170911003019,U.S. Bank Stadium,indoor
13508,20170911003040,U.S. Bank Stadium,indoor
13530,20170911003254,U.S. Bank Stadium,indoor
13552,20170911003323,U.S. Bank Stadium,indoor
13574,20170911003402,U.S. Bank Stadium,indoor
13596,20170911003447,U.S. Bank Stadium,indoor
13618,20170911003492,U.S. Bank Stadium,indoor
13640,20170911003530,U.S. Bank Stadium,indoor
13662,20170911003863,U.S. Bank Stadium,indoor
13684,20170911003901,U.S. Bank Stadium,indoor
13706,20170911003939,U.S. Bank Stadium,indoor
